"","tconst","id","title","bechdel_rating","year","averageRating","numVotes","runtimeMinutes","genres","primaryTitle"
"4849","1020885",1885,"Lesbian Vampire Killers","3",2009,5.2,18360,"86","Action,Comedy,Fantasy","Vampire Killers"
"4850","1022603",434,"(500) Days of Summer","1",2009,7.7,419908,"95","Comedy,Drama,Romance","500 Days of Summer"
"4851","1022606",3381,"Lion&#39;s Den","3",2008,7.1,2692,"113","Drama","Lion's Den"
"4852","1022885",1936,"Scouting Book for Boys, The","2",2009,6.6,805,"93","Drama,Thriller","The Scouting Book for Boys"
"4853","1023114",7045,"Way Back, The","0",2010,7.3,97274,"133","Adventure,Drama,History","The Way Back"
"4854","1023441",1634,"Coco Chanel &amp; Igor Stravinsky","2",2009,6.4,5632,"119","Drama,Music,Romance","Coco Chanel & Igor Stravinsky"
"4855","1023481",1104,"Step Up 2: The Streets","3",2008,6.3,73270,"98","Drama,Music,Romance","Step Up 2: The Streets"
"4856","1024255",1394,"Wild Child","3",2008,6.1,41949,"98","Comedy,Drama,Romance","Wild Child"
"4857","1024648",3633,"Argo","3",2012,7.7,507538,"120","Biography,Drama,Thriller","Argo"
"4858","1024744",4217,"I Come with the Rain","0",2009,5.5,2723,"114","Thriller","I Come with the Rain"
"4859","1024856",3577,"Negative Happy Chain Saw Edge","0",2007,5.7,275,"109","Comedy,Horror","Negative Happy Chainsaw Edge"
"4860","1027718",1661,"Wall Street: Money Never Sleeps","3",2010,6.2,90284,"133","Drama","Wall Street: Money Never Sleeps"
"4861","1028528",7,"Death Proof","3",2007,7.1,231153,"113","Action,Thriller","Death Proof"
"4862","1028576",1669,"Secretariat","3",2010,7.2,22867,"123","Biography,Drama,Family","Secretariat"
"4863","1029134",141,"Birds of America","3",2008,6.2,5024,"85","Comedy,Drama","Birds of America"
"4864","1029234",1398,"Martyrs","3",2008,7.1,68492,"99","Horror","Martyrs"
"4865","1032207",1438,"Lynch","1",2007,6.8,746,"84","Documentary","Lynch"
