"","nconst","tconst","ordering","category","primaryName","primaryProfession"
"9037","nm0044545","1064932",10,"cinematographer","Pierre Aïm","cinematographer,camera_department,actor"
"9038","nm0044545","1661420",9,"cinematographer","Pierre Aïm","cinematographer,camera_department,actor"
"9039","nm0044577","1401143",9,"producer","Agnès B.","producer,costume_department,director"
"9040","nm0044796","0083248",4,"actor","Raj Babbar","actor,music_department"
"9041","nm0044803","0179116",5,"director","Jamie Babbit","director,producer,miscellaneous"
"9042","nm0044859","0448120",3,"actor","Todd Babcock","actor,director,writer"
"9043","nm0045202","0247745",9,"cinematographer","Joaquín Baca-Asay","cinematographer,camera_department,producer"
"9044","nm0045209","2294449",7,"writer","Michael Bacall","actor,writer,soundtrack"
"9045","nm0045209","0446029",6,"writer","Michael Bacall","actor,writer,soundtrack"
"9046","nm0045209","1636826",7,"writer","Michael Bacall","actor,writer,soundtrack"
"9047","nm0045301","0086960",7,"writer","Danilo Bach","writer,producer"
"9048","nm0045379","0115819",2,"actor","Dian Bachar","actor,director,writer"
"9049","nm0045379","0124819",2,"actor","Dian Bachar","actor,director,writer"
"9050","nm0045429","2401715",7,"producer","Gabriela Bacher","producer,assistant_director,miscellaneous"
"9051","nm0045489","2009643",3,"actor","Þorsteinn Bachmann","actor,producer"
"9052","nm0045549","0324013",7,"producer","Doro Bachrach","producer,production_manager"
"9053","nm0045584","1813609",1,"actor","Steve Bacic","actor,producer,director"
"9054","nm0045754","0018839",3,"actress","Olga Baclanova","actress"
"9055","nm0045754","0022913",3,"actress","Olga Baclanova","actress"
"9056","nm0045754","0019130",4,"actress","Olga Baclanova","actress"
"9057","nm0045800","0024034",5,"director","Lloyd Bacon","director,actor,writer"
"9058","nm0045800","0029217",5,"director","Lloyd Bacon","director,actor,writer"
"9059","nm0045800","0024028",5,"director","Lloyd Bacon","director,actor,writer"
"9060","nm0045870","0118015",1,"actor","Jean-Pierre Bacri","actor,writer"
"9061","nm0045916","0255094",7,"cinematographer","Bahram Badakshani","cinematographer"
"9062","nm0045916","5695764",8,"cinematographer","Bahram Badakshani","cinematographer"
"9063","nm0045920","0062136",9,"cinematographer","Jean Badal","cinematographer,camera_department"
"9064","nm0045927","0115759",7,"producer","Bill Badalato","producer,production_manager,writer"
"9065","nm0045927","0118583",9,"producer","Bill Badalato","producer,production_manager,writer"
"9066","nm0045938","0067445",7,"writer","Nicola Badalucco","writer,actor,miscellaneous"
"9067","nm0045954","0083762",8,"composer","Wally Badarou","soundtrack,composer,music_department"
"9068","nm0046004","0238380",8,"composer","Klaus Badelt","composer,music_department,soundtrack"
"9069","nm0046004","0443559",10,"composer","Klaus Badelt","composer,music_department,soundtrack"
"9070","nm0046004","0264395",10,"composer","Klaus Badelt","composer,music_department,soundtrack"
"9071","nm0046020","1196204",7,"producer","Sue Baden-Powell","producer,production_manager,miscellaneous"
"9072","nm0046082","0018033",5,"director","Clarence G. Badger","director,writer,producer"
"9073","nm0046112","1823125",1,"actor","Penn Badgley","actor,producer"
"9074","nm0046133","0043686",4,"actress","Laurence Badie","actress"
"9075","nm0046168","1942798",7,"producer","Kenneth M. Badish","producer,writer,executive"
"9076","nm0046168","2151543",8,"producer","Kenneth M. Badish","producer,writer,executive"
"9077","nm0046277","2328503",2,"actress","Doona Bae","actress"
"9078","nm0046277","3661798",1,"actress","Doona Bae","actress"
"9079","nm0046294","0264689",8,"cinematographer","Rebecca Baehler","camera_department,miscellaneous,cinematographer"
"9080","nm0046367","0264150",7,"producer","Matthew Baer","producer,miscellaneous"
"9081","nm0046408","0812243",2,"actor","Norman Baert","actor,camera_department,cinematographer"
"9082","nm0046412","0119336",9,"composer","David Baerwald","soundtrack,composer,music_department"
"9083","nm0046424","2024519",1,"actress","Veerle Baetens","actress,writer,director"
"9084","nm0046524","3799694",6,"writer","Anthony Bagarozzi","writer,producer,director"
"9085","nm0046667","0120265",2,"actor","Abdolrahman Bagheri","actor"
"9086","nm0046750","0118789",5,"writer","Alison Bagnall","writer,director,actress"
"9087","nm0046770","0082894",4,"actor","Vernel Bagneris","actor,miscellaneous,soundtrack"
"9088","nm0046779","0037120",6,"writer","Enid Bagnold","writer"
"9089","nm0046779","0057933",7,"writer","Enid Bagnold","writer"
"9090","nm0046991","1473149",9,"cinematographer","Samir Bahzan","cinematographer,camera_department"
"9091","nm0047265","0087928",2,"actor","G.W. Bailey","actor,soundtrack"
"9092","nm0047265","0110857",1,"actor","G.W. Bailey","actor,soundtrack"
"9093","nm0047419","4034354",7,"producer","Miranda Bailey","producer,actress,director"
"9094","nm0047419","3172532",7,"producer","Miranda Bailey","producer,actress,director"
"9095","nm0047440","0082406",3,"actress","Pearl Bailey","soundtrack,actress"
"9096","nm0047489","0452623",8,"producer","Sean Bailey","producer,writer,executive"
"9097","nm0047786","0037635",9,"writer","John Baines","writer"
"9098","nm0047787","1187064",6,"producer","Julie Baines","producer,miscellaneous"
"9099","nm0047800","0012349",6,"actress","Beulah Bains","actress"
"9100","nm0047810","0035567",3,"actress","Fay Bainter","actress,soundtrack"
"9101","nm0047810","0029192",3,"actress","Fay Bainter","actress,soundtrack"
"9102","nm0047810","0035770",4,"actress","Fay Bainter","actress,soundtrack"
"9103","nm0047919","0079766",9,"producer","Roy Baird","assistant_director,producer,production_manager"
"9104","nm0047977","0244283",6,"composer","Rick Baitz","composer,music_department"
"9105","nm0047999","3043252",7,"producer","Aseem Bajaj","camera_department,cinematographer,producer"
"9106","nm0047999","0830570",9,"cinematographer","Aseem Bajaj","camera_department,cinematographer,producer"
"9107","nm0048075","5165344",3,"actor","Manoj Bajpayee","actor,producer,music_department"
"9108","nm0048101","3877674",8,"composer","Frans Bak","composer,music_department,soundtrack"
"9109","nm0048227","1466054",10,"editor","Angela Baker","editor,writer"
"9110","nm0048260","0083907",4,"actress","Betsy Baker","actress,miscellaneous,producer"
"9111","nm0048301","0066728",9,"composer","Buddy Baker","composer,music_department,soundtrack"
"9112","nm0048414","0147612",4,"actor","Dylan Baker","actor,director,producer"
"9113","nm0048414","1198199",4,"actor","Dylan Baker","actor,director,producer"
"9114","nm0048414","0164334",4,"actor","Dylan Baker","actor,director,producer"
"9115","nm0048512","0006864",6,"writer","Hettie Grey Baker","writer,editor,editorial_department"
"9116","nm0048524","0110099",10,"cinematographer","Ian Baker","cinematographer"
"9117","nm0048653","0039236",4,"actor","Kenny Baker","actor,soundtrack"
"9118","nm0048687","3856042",2,"actress","Leigh-Allyn Baker","actress,director,soundtrack"
"9119","nm0048744","0158811",9,"producer","Martin G. Baker","producer,miscellaneous,director"
"9120","nm0048798","0012349",7,"actress","Nellie Bly Baker","actress,miscellaneous"
"9121","nm0048875","0051422",7,"producer","Robert S. Baker","producer,miscellaneous,writer"
"9122","nm0048918","5649144",5,"director","Sean Baker","writer,producer,director"
"9123","nm0048918","3824458",5,"director","Sean Baker","writer,producer,director"
"9124","nm0048939","0058777",1,"actor","Stanley Baker","actor,producer"
"9125","nm0049086","0120265",3,"actor","Afshin Khorshid Bakhtiari","actor"
"9126","nm0049313","0213121",1,"actress","Liane Balaban","actress,writer"
"9127","nm0049371","0422272",5,"director","Jaume Balagueró","writer,director,producer"
"9128","nm0049371","1082868",7,"writer","Jaume Balagueró","writer,director,producer"
"9129","nm0049608","0048281",8,"producer","Michael Balcon","producer,miscellaneous,production_manager"
"9130","nm0049608","0041546",9,"producer","Michael Balcon","producer,miscellaneous,production_manager"
"9131","nm0049623","3529612",1,"actor","Dave Bald Eagle","actor,miscellaneous"
"9132","nm0049623","0110297",2,"actor","Dave Bald Eagle","actor,miscellaneous"
"9133","nm0049633","3469046",5,"director","Kyle Balda","director,animation_department,visual_effects"
"9134","nm0049633","2293640",5,"director","Kyle Balda","director,animation_department,visual_effects"
"9135","nm0049633","1482459",6,"director","Kyle Balda","director,animation_department,visual_effects"
"9136","nm0049689","1767354",7,"producer","John Baldecchi","producer,actor,executive"
"9137","nm0049689","2058673",9,"producer","John Baldecchi","producer,actor,executive"
"9138","nm0049689","0816462",10,"producer","John Baldecchi","producer,actor,executive"
"9139","nm0049721","0120616",8,"writer","John L. Balderston","writer"
"9140","nm0049721","0021814",8,"writer","John L. Balderston","writer"
"9141","nm0049721","0029442",8,"writer","John L. Balderston","writer"
"9142","nm0049721","0021884",6,"writer","John L. Balderston","writer"
"9143","nm0049853","0079714",1,"actor","A. Michael Baldwin","actor,producer,director"
"9144","nm0049903","0028505",8,"writer","Faith Baldwin","writer,actress"
"9145","nm0049920","0443465",9,"producer","Howard Baldwin","producer"
"9146","nm0049945","0443465",10,"producer","Karen Elise Baldwin","producer,actress,writer"
"9147","nm0049975","0068346",3,"actor","Peter Baldwin","director,actor,producer"
"9148","nm0049987","0067341",10,"cinematographer","Robert M. Baldwin","cinematographer,camera_department"
"9149","nm0050097","0441041",5,"director","Paul Bales","producer,writer,director"
"9150","nm0050175","1216477",10,"cinematographer","Michael Balfry","cinematographer,camera_department,producer"
"9151","nm0050183","0421994",6,"producer","Sophie Balhetchet","producer"
"9152","nm0050398","0061811",7,"writer","John Ball","writer,miscellaneous"
"9153","nm0050482","0051422",2,"actor","Vincent Ball","actor"
"9154","nm0050541","0416315",9,"editor","Jason Ballantine","editor,editorial_department,visual_effects"
"9155","nm0050597","0116329",5,"director","Carroll Ballard","director,camera_department,cinematographer"
"9156","nm0050618","0115964",6,"writer","J.G. Ballard","writer,actor"
"9157","nm0050676","0083972",4,"actor","Terry Ballard","art_department,actor,miscellaneous"
"9158","nm0050778","0088040",3,"actress","Belén Ballesteros","actress"
"9159","nm0050832","0408790",10,"cinematographer","Florian Ballhaus","cinematographer,camera_department,miscellaneous"
"9160","nm0050832","0832266",9,"cinematographer","Florian Ballhaus","cinematographer,camera_department,miscellaneous"
"9161","nm0050959","3487994",2,"actor","Pedro Pascal","actor"
"9162","nm0051096","0088794",9,"editor","Alan Balsam","editor,editorial_department"
"9163","nm0051116","0415127",9,"producer","Humbert Balsan","producer,actor,director"
"9164","nm0051281","0062687",4,"actor","Jacques Balutin","actor,soundtrack"
"9165","nm0051282","0119874",4,"actor","Aleksandr Baluev","actor"
"9166","nm0051354","0022958",8,"writer","Béla Balázs","writer,actor,director"
"9167","nm0051354","0022694",5,"director","Béla Balázs","writer,actor,director"
"9168","nm0051447","0022458",4,"actor","Bill Bambridge","actor,assistant_director"
"9169","nm0051469","3992752",1,"self","Maria Bamford","actress,writer,producer"
"9170","nm0051509","0408306",1,"actor","Eric Bana","actor,writer,producer"
"9171","nm0051509","2025690",4,"actor","Eric Bana","actor,writer,producer"
"9172","nm0051509","1201167",4,"actor","Eric Bana","actor,writer,producer"
"9173","nm0051509","0452694",1,"actor","Eric Bana","actor,writer,producer"
"9174","nm0051509","0265086",4,"actor","Eric Bana","actor,writer,producer"
"9175","nm0051628","0018839",1,"actor","George Bancroft","actor"
"9176","nm0051643","0120762",5,"director","Tony Bancroft","animation_department,miscellaneous,director"
"9177","nm0051649","0051755",5,"director","Albert Band","producer,director,actor"
"9178","nm0051748","0116931",8,"writer","Helen Bandis","writer,producer"
"9179","nm0051808","0052572",6,"writer","Bibhutibhushan Bandyopadhyay","writer"
"9180","nm0051808","0048473",6,"writer","Bibhutibhushan Bandyopadhyay","writer"
"9181","nm0051856","0087892",2,"actor","Victor Banerjee","actor,director,music_department"
"9182","nm0051917","4010918",9,"composer","Jun-seok Bang","composer,music_department,actor"
"9183","nm0051994","0079540",4,"actor","Russ Banham","actor"
"9184","nm0052023","0069293",2,"actor","Donatas Banionis","actor"
"9185","nm0052044","0089371",10,"composer","Melody Bank","composer"
"9186","nm0052186","2396589",4,"actor","Jonathan Banks","actor,writer,producer"
"9187","nm0052203","0023238",3,"actor","Leslie Banks","actor"
"9188","nm0052218","2066832",2,"actress","Morwenna Banks","actress,writer,producer"
"9189","nm0052329","0059348",3,"actor","Haradhan Bannerjee","actor,soundtrack"
"9190","nm0052333","0048473",1,"actor","Kanu Bannerjee","actor"
"9191","nm0052334","0048473",2,"actress","Karuna Bannerjee","actress"
"9192","nm0052343","0048473",3,"actor","Subir Banerjee","actor"
"9193","nm0052410","0079714",3,"actor","Reggie Bannister","actor,music_department,producer"
"9194","nm0052419","0067148",5,"director","Yoshimitsu Banno","assistant_director,writer,producer"
"9195","nm0052486","5739786",3,"actor","Rafael Banquells","director,actor,cinematographer"
"9196","nm0052754","1320244",3,"actress","Iris Bahr","actress,writer,director"
"9197","nm0052797","0131369",10,"producer","Jeffrey T. Barabe","producer,miscellaneous,assistant_director"
"9198","nm0052849","0087814",10,"editor","Nino Baragli","editor,editorial_department"
"9199","nm0052849","0058715",9,"editor","Nino Baragli","editor,editorial_department"
"9200","nm0052944","0111549",8,"writer","Jack Baran","assistant_director,producer,writer"
"9201","nm0052964","0421054",7,"writer","Steve Barancik","writer"
"9202","nm0052964","0110308",6,"writer","Steve Barancik","writer"
"9203","nm0053070","4299406",9,"producer","Andrea Barata Ribeiro","producer,actress"
"9204","nm0053184","0346336",8,"producer","Angelo Barbagallo","producer,production_manager,actor"
"9205","nm0053230","0078935",4,"actor","Luca Barbareschi","actor,producer,writer"
"9206","nm0053267","0078869",7,"writer","Bob Barbash","writer,producer,production_manager"
"9207","nm0053290","0084481",7,"producer","Armand Barbault","production_manager,producer,actor"
"9208","nm0053329","0068359",1,"actor","Todd Barbee","actor"
"9209","nm0053344","2965466",8,"composer","Adam Barber","composer,music_department,miscellaneous"
"9210","nm0053352","0117128",10,"composer","Billy Barber","music_department,composer,director"
"9211","nm0053388","0253556",9,"producer","Gary Barber","producer"
"9212","nm0053388","0345074",6,"producer","Gary Barber","producer"
"9213","nm0053388","0259288",9,"producer","Gary Barber","producer"
"9214","nm0053427","1407065",9,"composer","Lesley Barber","composer,music_department,soundtrack"
"9215","nm0053427","0178737",8,"composer","Lesley Barber","composer,music_department,soundtrack"
"9216","nm0053427","0114916",7,"composer","Lesley Barber","composer,music_department,soundtrack"
"9217","nm0053484","0267913",9,"writer","Joseph Barbera","producer,director,writer"
"9218","nm0053716","0085601",6,"writer","Marco Barboni","writer"
"9219","nm0053903","1653911",2,"actor","Marc Barbé","actor,director,writer"
"9220","nm0053935","0050706",7,"composer","Franck Barcellini","composer,music_department,soundtrack"
"9221","nm0054060","0034521",2,"actress","Joan Barclay","actress"
"9222","nm0054219","0045665",5,"director","Juan Antonio Bardem","writer,director,actor"
"9223","nm0054234","0435623",7,"producer","Kerry Barden","casting_director,casting_department,producer"
"9224","nm0054344","0088814",1,"actor","Grant Bardsley","actor"
"9225","nm0054397","0205000",4,"actress","Arija Bareikis","actress"
"9226","nm0054504","1659338",5,"director","Kasper Barfoed","director,writer,camera_department"
"9227","nm0054689","0021165",2,"actress","Norah Baring","actress"
"9228","nm0054697","1489889",6,"writer","Ike Barinholtz","actor,producer,writer"
"9229","nm0054697","1850457",4,"actor","Ike Barinholtz","actor,producer,writer"
"9230","nm0054712","0084707",7,"producer","Keith Barish","producer,actor"
"9231","nm0054713","0089017",6,"writer","Leora Barish","writer,director,actress"
"9232","nm0054922","1843678",10,"actress","Judith Barker","actress"
"9233","nm0055274","0059170",4,"actor","Ray Barlow","actor"
"9234","nm0055304","0088117",8,"producer","Ira Barmak","producer,actor,writer"
"9235","nm0055431","0166276",8,"producer","Michael Barnathan","producer,production_manager,miscellaneous"
"9236","nm0055431","0814255",8,"producer","Michael Barnathan","producer,production_manager,miscellaneous"
"9237","nm0055431","2120120",9,"producer","Michael Barnathan","producer,production_manager,miscellaneous"
"9238","nm0055431","1854564",8,"producer","Michael Barnathan","producer,production_manager,miscellaneous"
"9239","nm0055431","0116705",7,"producer","Michael Barnathan","producer,production_manager,miscellaneous"
"9240","nm0055541","0060841",10,"editor","Chris Barnes","editor,editorial_department,sound_department"
"9241","nm0055549","0097757",4,"actor","Christopher Daniel Barnes","actor,soundtrack"
"9242","nm0055604","0046534",10,"cinematographer","George Barnes","cinematographer,camera_department"
"9243","nm0055604","0024028",10,"cinematographer","George Barnes","cinematographer,camera_department"
"9244","nm0055604","0029217",10,"cinematographer","George Barnes","cinematographer,camera_department"
"9245","nm0055607","0000439",3,"actor","George Barnes","actor"
"9246","nm0055656","1870548",4,"producer","Joslyn Barnes","producer,writer,editorial_department"
"9247","nm0055661","0000439",4,"actor","Justus D. Barnes","actor"
"9248","nm0055717","2719848",8,"producer","Nicky Kentish Barnes","producer,production_manager,miscellaneous"
"9249","nm0055797","0016332",3,"actor","T. Roy Barnes","actor"
"9250","nm0056002","0975645",8,"producer","Alan Barnette","producer"
"9251","nm0056030","3529612",5,"director","Matthew Barney","director,writer,producer"
"9252","nm0056086","0116650",10,"editor","Luc Barnier","editor,sound_department,director"
"9253","nm0056187","0443453",1,"actor","Sacha Baron Cohen","actor,writer,producer"
"9254","nm0056187","1645170",1,"actor","Sacha Baron Cohen","actor,writer,producer"
"9255","nm0056205","0265343",7,"producer","Caroline Baron","producer,production_manager,miscellaneous"
"9256","nm0056217","0058164",4,"actor","Harold Pinter","writer,actor,director"
"9257","nm0056236","0203009",7,"producer","Fred Baron","producer,miscellaneous,assistant_director"
"9258","nm0056283","0343818",9,"producer","Michael Lee Baron","stunts,producer,director"
"9259","nm0056319","0050706",10,"editor","Suzanne Baron","editor,editorial_department,writer"
"9260","nm0056319","0059956",10,"editor","Suzanne Baron","editor,editorial_department,writer"
"9261","nm0056319","0082783",10,"editor","Suzanne Baron","editor,editorial_department,writer"
"9262","nm0056477","0036775",4,"actor","Byron Barr","actor"
"9263","nm0056532","0439623",3,"actress","Kathleen Barr","actress,soundtrack"
"9264","nm0056532","0450982",4,"actress","Kathleen Barr","actress,soundtrack"
"9265","nm0056550","0450278",8,"composer","Nathan Barr","composer,soundtrack,music_department"
"9266","nm0056593","0082045",4,"actor","Gianfranco Barra","actor"
"9267","nm0056697","0082370",10,"editor","Martine Barraqué","editor,actress,editorial_department"
"9268","nm0056697","0110521",8,"editor","Martine Barraqué","editor,actress,editorial_department"
"9269","nm0056761","0037674",2,"actor","Jean-Louis Barrault","actor,miscellaneous,writer"
"9270","nm0056763","0064612",3,"actress","Marie-Christine Barrault","actress,writer,producer"
"9271","nm0057121","0036027",4,"actress","Edith Barrett","actress"
"9272","nm0057187","0335266",10,"production_designer","K.K. Barrett","production_designer,art_director,actor"
"9273","nm0057187","0422720",10,"production_designer","K.K. Barrett","production_designer,art_director,actor"
"9274","nm0057221","0257106",4,"actor","Mark Barrett","actor"
"9275","nm0057321","0158811",3,"actor","Bill Barretta","actor,producer,soundtrack"
"9276","nm0057363","0078843",4,"actress","Barbara Barrie","actress,soundtrack"
"9277","nm0057368","0325703",3,"actor","Chris Barrie","actor,miscellaneous,writer"
"9278","nm0057381","3332064",7,"writer","J.M. Barrie","writer,actor,soundtrack"
"9279","nm0057381","0823671",7,"writer","J.M. Barrie","writer,actor,soundtrack"
"9280","nm0057381","0046183",9,"writer","J.M. Barrie","writer,actor,soundtrack"
"9281","nm0057428","0084589",3,"actor","Maurice Barrier","actor,soundtrack"
"9282","nm0057450","0089173",3,"actor","Anthony Barrile","actor"
"9283","nm0057456","0023935",8,"writer","Barry Barringer","writer,director"
"9284","nm0057623","2955316",9,"producer","Ghislain Barrois","producer,executive"
"9285","nm0057623","2093990",8,"producer","Ghislain Barrois","producer,executive"
"9286","nm0057623","1649419",10,"producer","Ghislain Barrois","producer,executive"
"9287","nm0057655","1201607",8,"producer","David Barron","producer,production_manager,location_management"
"9288","nm0057655","1205537",8,"producer","David Barron","producer,production_manager,location_management"
"9289","nm0057655","0116477",6,"producer","David Barron","producer,production_manager,location_management"
"9290","nm0057655","0417741",8,"producer","David Barron","producer,production_manager,location_management"
"9291","nm0057655","1661199",8,"producer","David Barron","producer,production_manager,location_management"
"9292","nm0057664","2980706",7,"producer","Ferrell Barron","producer,actor,production_manager"
"9293","nm0057733","0088075",5,"director","Zelda Barron","miscellaneous,director,production_manager"
"9294","nm0057733","0098300",5,"director","Zelda Barron","miscellaneous,director,production_manager"
"9295","nm0057774","1629705",6,"writer","Miguel Barros","writer,assistant_director,director"
"9296","nm0057819","0263467",5,"director","Mariano Barroso","director,writer,actor"
"9297","nm0058001","0046534",1,"actor","Gene Barry","actor,producer,soundtrack"
"9298","nm0058039","0023395",2,"actress","Joan Barry","actress,miscellaneous"
"9299","nm0058045","0066921",9,"production_designer","John Barry","production_designer,art_department,art_director"
"9300","nm0058178","0140627",3,"actor","Todd Barry","actor,writer,producer"
"9301","nm0058279","0096787",3,"actress","Judith Barsi","actress"
"9302","nm0058286","1183672",6,"writer","Odile Barski","writer"
"9303","nm0058290","0015648",2,"actor","Vladimir Barskiy","director,writer,actor"
"9304","nm0058302","0810900",6,"writer","Peter Barsocchini","writer,producer,miscellaneous"
"9305","nm0058302","0475293",6,"writer","Peter Barsocchini","writer,producer,miscellaneous"
"9306","nm0058342","2393787",3,"actress","Grazyna Barszczewska","actress"
"9307","nm0058418","0208185",9,"composer","Steve Bartek","music_department,composer,soundtrack"
"9308","nm0058418","0120032",8,"composer","Steve Bartek","music_department,composer,soundtrack"
"9309","nm0058458","0443431",10,"cinematographer","Carl Bartels","cinematographer,camera_department,director"
"9310","nm0058532","0080716",1,"actor","Eddie Barth","actor,soundtrack"
"9311","nm0058581","1411697",4,"actor","Justin Bartha","actor,producer,miscellaneous"
"9312","nm0058598","0058139",6,"writer","Kurt Barthel","writer"
"9313","nm0058638","6423776",7,"writer","Roland Barthes","writer,actor"
"9314","nm0058826","0080339",8,"writer","Hall Bartlett","producer,writer,director"
"9315","nm0059030","0040522",7,"writer","Luigi Bartolini","writer"
"9316","nm0059121","0068699",8,"composer","Dee Barton","composer,soundtrack"
"9317","nm0059121","0067588",8,"composer","Dee Barton","composer,soundtrack"
"9318","nm0059215","0245238",3,"actress","Mischa Barton","actress,writer"
"9319","nm0059218","0337909",8,"producer","Nick Barton","producer,writer"
"9320","nm0059228","0087298",3,"actor","Peter Barton","actor"
"9321","nm0059242","0121766",9,"editor","Roger Barton","editor,editorial_department,actor"
"9322","nm0059242","0213149",10,"editor","Roger Barton","editor,editorial_department,actor"
"9323","nm0059431","1646971",1,"actor","Jay Baruchel","actor,writer,director"
"9324","nm0059431","0405159",4,"actor","Jay Baruchel","actor,writer,director"
"9325","nm0059483","0079574",9,"writer","Tony Barwick","miscellaneous,writer"
"9326","nm0059493","0082288",6,"writer","Hal Barwood","writer,director,producer"
"9327","nm0059553","0054847",8,"writer","Ben Barzman","writer,miscellaneous"
"9328","nm0059553","0065234",8,"writer","Ben Barzman","writer,miscellaneous"
"9329","nm0059553","0056800",10,"writer","Ben Barzman","writer,miscellaneous"
"9330","nm0059971","0116650",4,"actor","Antoine Basler","actor,director,writer"
"9331","nm0059974","0419773",3,"actress","Marianne Basler","actress,director,writer"
"9332","nm0060023","0061655",3,"actor","Alfie Bass","actor,soundtrack"
"9333","nm0060072","0084237",5,"director","Jules Bass","producer,director,soundtrack"
"9334","nm0060072","0066327",5,"director","Jules Bass","producer,director,soundtrack"
"9335","nm0060103","0120686",10,"writer","Ronald Bass","writer,producer,actor"
"9336","nm0060103","0443465",5,"writer","Ronald Bass","writer,producer,actor"
"9337","nm0060103","0119738",6,"writer","Ronald Bass","writer,producer,actor"
"9338","nm0060221","1441956",3,"actress","Linda Bassett","actress,soundtrack"
"9339","nm0060221","0166175",2,"actress","Linda Bassett","actress,soundtrack"
"9340","nm0060248","0114689",1,"actor","William Bassett","actor"
"9341","nm0060317","0040806",10,"producer","Robert Bassler","producer,editor,production_manager"
"9342","nm0060378","0084637",6,"writer","William Bast","writer,producer,miscellaneous"
"9343","nm0060459","0407265",6,"producer","Rene Bastian","producer,executive"
"9344","nm0060459","0242587",8,"producer","Rene Bastian","producer,executive"
"9345","nm0060561","0450506",2,"actor","Steve Bastoni","actor,writer,producer"
"9346","nm0060631","0263215",10,"cinematographer","Miroslaw Baszak","cinematographer,camera_department,director"
"9347","nm0060692","0079579",2,"actor","Aleksey Batalov","actor,writer,director"
"9348","nm0060692","0050634",2,"actor","Aleksey Batalov","actor,writer,director"
"9349","nm0060715","0020530",1,"actor","Pierre Batcheff","actor,writer"
"9350","nm0060742","0047834",3,"director","Joy Batchelor","producer,director,writer"
"9351","nm0060822","0089173",4,"actress","Suzanne Bateman","actress"
"9352","nm0060915","0043456",7,"writer","Harry Bates","writer"
"9353","nm0060931","0166924",4,"actress","Jeanne Bates","actress"
"9354","nm0060971","1858481",10,"composer","Liam Bates","composer,music_department,soundtrack"
"9355","nm0060988","0066921",3,"actor","Michael Bates","actor"
"9356","nm0061012","0067367",2,"actor","Ralph Bates","actor"
"9357","nm0061045","1441912",8,"composer","Tyler Bates","composer,soundtrack,music_department"
"9358","nm0061045","1082807",8,"composer","Tyler Bates","composer,soundtrack,music_department"
"9359","nm0061045","0439815",8,"composer","Tyler Bates","composer,soundtrack,music_department"
"9360","nm0061116","0058695",1,"actress","Aurora Bautista","actress"
"9361","nm0061192","0081060",10,"cinematographer","Bedrich Batka","cinematographer,camera_department,writer"
"9362","nm0061192","0063278",9,"cinematographer","Bedrich Batka","cinematographer,camera_department,writer"
"9363","nm0061295","0178844",9,"cinematographer","Gianlorenzo Battaglia","cinematographer,camera_department,writer"
"9364","nm0061337","0245562",7,"writer","Joe Batteer","writer,producer,editor"
"9365","nm0061474","0122648",10,"composer","Battista Lena","composer,editor,soundtrack"
"9366","nm0061484","3078718",1,"actor","Giuseppe Battiston","actor,writer"
"9367","nm0061486","0085218",2,"actress","Catherine Battistone","actress,miscellaneous"
"9368","nm0061669","3838728",6,"producer","Laurent Baudens","producer,actor"
"9369","nm0061777","0155711",4,"actor","Chris Bauer","actor"
"9370","nm0061777","0817400",1,"actor","Chris Bauer","actor"
"9371","nm0061792","0199849",5,"director","Godfrey Ho","director,writer,assistant_director"
"9372","nm0061829","0120913",8,"writer","Hans Bauer","writer,producer"
"9373","nm0061952","2101473",10,"producer","Wolf Bauer","producer,writer"
"9374","nm0062071","0116329",9,"producer","Carol Baum","producer,executive"
"9375","nm0062071","0110099",8,"producer","Carol Baum","producer,executive"
"9376","nm0062139","0022958",6,"writer","Vicki Baum","writer"
"9377","nm0062185","1625340",7,"producer","Ted Bauman","producer,production_manager,location_management"
"9378","nm0062215","1630027",10,"composer","Gerd Baumann","composer,music_department,soundtrack"
"9379","nm0062332","0323944",7,"producer","Craig Baumgarten","producer,manager,actor"
"9380","nm0062340","1977739",6,"writer","Marietta von Hausswolff von Baumgarten","writer,miscellaneous,producer"
"9381","nm0062362","0246772",6,"producer","Karl Baumgartner","producer,executive"
"9382","nm0062362","1178197",9,"producer","Karl Baumgartner","producer,executive"
"9383","nm0062362","0118843",7,"producer","Karl Baumgartner","producer,executive"
"9384","nm0062369","0082370",4,"actress","Michèle Baumgartner","actress"
"9385","nm0062430","1643222",1,"actress","Lilo Baur","actress"
"9386","nm0062658","0053719",6,"writer","George Baxt","writer"
"9387","nm0062667","0035279",4,"actor","Alan Baxter","actor,soundtrack"
"9388","nm0062667","0035279",4,"actor","Alan Baxter","actor,soundtrack"
"9389","nm0062667","0041859",4,"actor","Alan Baxter","actor,soundtrack"
"9390","nm0062828","0024034",1,"actor","Warner Baxter","actor,soundtrack"
"9391","nm0063127","0119723",8,"producer","Stephen Bayly","producer,director,actor"
"9392","nm0063143","0110297",3,"actor","Lawrence Bayne","actor"
"9393","nm0063165","0443453",7,"writer","Peter Baynham","writer,actor,producer"
"9394","nm0063165","1334512",6,"writer","Peter Baynham","writer,actor,producer"
"9395","nm0063266","1082009",10,"editor","Tina Baz","editor,editorial_department,writer"
"9396","nm0063266","3230162",10,"editor","Tina Baz","editor,editorial_department,writer"
"9397","nm0063414","0422272",9,"composer","Roque Baños","composer,music_department,soundtrack"
