"nconst","tconst","crew.type","primaryName","primaryProfession"
"nm0481418","2474024","writ2","Richard LaGravenese","writer,producer,director"
"nm0481418","0113670","writ2","Richard LaGravenese","writer,producer,director"
"nm0481418","0120603","writ3","Richard LaGravenese","writer,producer,director"
"nm0481418","0463998","writ1","Richard LaGravenese","writer,producer,director"
"nm0481418,nm0622112,nm0170043,nm0001054,nm0001053,nm0149446,nm0158984,nm1440846,nm0041474,nm0000801,nm0668247,nm0687913,nm0758574,nm0005628,nm0840485,nm0858680,nm0878756,nm0001814","0401711","dir5",NA,NA
"nm0481766","0040242","writ1","William R. Laidlaw","writer"
"nm0481910","0790781","dir1","John Laing","producer,director,writer"
"nm0481990","1291150","writ4","Peter Laird","writer,art_department,producer"
"nm0481990","0453556","writ2","Peter Laird","writer,art_department,producer"
"nm0481990","0103060","writ2","Peter Laird","writer,art_department,producer"
