"nconst","tconst","crew.type","primaryName","primaryProfession"
"nm0499626","0059742","writ4","Ernest Lehman","writer,producer,soundtrack"
"nm0499626","0074512","writ1","Ernest Lehman","writer,producer,soundtrack"
"nm0499626","0051036","writ2","Ernest Lehman","writer,producer,soundtrack"
"nm0499626","0053125","writ1","Ernest Lehman","writer,producer,soundtrack"
"nm0499724","0117979","dir1","Michael Lehmann","director,producer,miscellaneous"
"nm0499724","0102070","dir1","Michael Lehmann","director,producer,miscellaneous"
"nm0499724","0490084","dir1","Michael Lehmann","director,producer,miscellaneous"
"nm0499724","0097493","dir1","Michael Lehmann","director,producer,miscellaneous"
"nm0499724","0109068","dir1","Michael Lehmann","director,producer,miscellaneous"
"nm0500067","0058700","writ1","William F. Leicester","writer,actor,miscellaneous"
"nm0500090","0091738","writ1","Jerry Leichtling","writer,music_department,producer"
"nm0500090","0109306","writ3","Jerry Leichtling","writer,music_department,producer"
"nm0500284","0029843","writ3","Rowland Leigh","writer,miscellaneous,soundtrack"
"nm0500284","0027438","writ2","Rowland Leigh","writer,miscellaneous,soundtrack"
"nm0500343","0130623","dir1","Eric Leighton","animation_department,visual_effects,director"
"nm0500444","0242423","dir1","Danny Leiner","director,producer,writer"
"nm0500444","0366551","dir1","Danny Leiner","director,producer,writer"
"nm0500610","2406566","dir1","David Leitch","stunts,actor,assistant_director"
"nm0500610","2911666","dir2","David Leitch","stunts,actor,assistant_director"
"nm0500858","0096787","writ4","Larry Leker","art_department,animation_department,writer"
"nm0500896","0185906","dir4","David Leland","actor,writer,director"
"nm0500988","0066798","writ1","Claude Lelouch","writer,director,producer"
"nm0500988","0066798","dir1","Claude Lelouch","writer,director,producer"
"nm0501015","0069293","writ1","Stanislaw Lem","writer"
"nm0501015","0307479","writ1","Stanislaw Lem","writer"
"nm0501015","1821641","writ1","Stanislaw Lem","writer"
"nm0501185","0304669","dir1","Michael Lembeck","director,actor,producer"
"nm0501185","0345074","dir1","Michael Lembeck","director,actor,producer"
"nm0501281","1067733","dir1","Ella Lemhagen","miscellaneous,director,writer"
"nm0501281","1067733","writ2","Ella Lemhagen","miscellaneous,director,writer"
"nm0501359","1051904","writ1","Darren Lemke","writer,producer,director"
"nm0501359","0892791","writ3","Darren Lemke","writer,producer,director"
"nm0501359","1860353","writ1","Darren Lemke","writer,producer,director"
"nm0501359","1351685","writ1","Darren Lemke","writer,producer,director"
"nm0501380","0122151","writ2","Jonathan Lemkin","writer,miscellaneous,director"
"nm0501380","0822854","writ1","Jonathan Lemkin","writer,miscellaneous,director"
"nm0501380","0199753","writ2","Jonathan Lemkin","writer,miscellaneous,director"
"nm0501380","0118971","writ2","Jonathan Lemkin","writer,miscellaneous,director"
"nm0501399","0247745","writ3","Steve Lemme","actor,writer,producer"
"nm0501399","1135525","writ3","Steve Lemme","actor,writer,producer"
"nm0501399","0486551","writ3","Steve Lemme","actor,writer,producer"
"nm0501435","0119080","dir1","Kasi Lemmons","actress,director,writer"
"nm0501435","0119080","writ1","Kasi Lemmons","actress,director,writer"
"nm0501544","0090793","writ2","Rusty Lemorande","producer,writer,assistant_director"
"nm0501544","0086619","writ4","Rusty Lemorande","producer,writer,assistant_director"
"nm0501729","0118829","writ2","Robert Lence","art_department,writer,animation_department"
"nm0501872","0035446","writ1","Melchior Lengyel","writer,actor,miscellaneous"
"nm0501872","0031725","writ4","Melchior Lengyel","writer,actor,miscellaneous"
"nm0501902","0019130","dir1","Paul Leni","art_director,director,production_designer"
"nm0501947","2718492","writ2","Rebecca Lenkiewicz","writer,actress"
"nm0501973","0062994","writ1","Isobel Lennart","writer"
"nm0501973","0037514","writ1","Isobel Lennart","writer"
"nm0501973","0051776","writ1","Isobel Lennart","writer"
"nm0502073","0864835","writ4","Thomas Lennon","actor,producer,writer"
"nm0502073","0395699","writ1","Thomas Lennon","actor,producer,writer"
"nm0502073","0316732","writ3","Thomas Lennon","actor,producer,writer"
